Investigation Type,Latitude,Longitude,Aircraft Category,Make,Amateur Built,Number of Engines,Engine Type,Purpose of Flight,Weather Condition,
 Accident ,,,, Vans Aircraft , Yes ,,, Personal , VMC , 
 Accident ,34.533333,135.5,, Robinson , No ,,, Business ,, 
 Accident ,39.4575,-74.577223,, Cessna , No ,2, Turbo Fan , Personal , IMC , 
 Accident ,37.550555,-112.216667,, Beech , No ,1, Reciprocating , Personal , VMC , 
 Accident ,26.511389,-80.104444, Airplane , PIPER , No ,1, Reciprocating , Instructional , VMC , 
 Accident ,30.398055,-87.348889,, Luscombe , No ,1, Reciprocating , Personal , VMC , 
 Accident ,37.429167,-112.913333, Airplane , PIPER , No ,1, Reciprocating , Business , VMC , 
 Accident ,38.450833,-106.0175,, Schempp-Hirth , No ,0,, Personal , VMC , 
 Accident ,36.161111,-97.085555, Airplane , Cessna , No ,1, Reciprocating , Instructional , VMC , 
 Accident ,34.213889,-119.094444, Airplane , Beech , No ,1, Reciprocating , Personal , VMC , 
 Accident ,50.533333,-115.75,, Piper , No ,,, Personal ,, 
 Accident ,42.992777,-84.138333, Airplane ," Veltman, Robert ", Yes ,1, Reciprocating , Personal , VMC , 
